mainEffects	ratio	reg	lambda	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	0.7	TRUE	1e+06	7	0.0341463414634146	1	42	1321	0	0	0.697871572871573
TRUE	0.7	TRUE	1e+07	7	0.0463414634146341	1	42	1321	0	0	0.109368690267869
TRUE	0.7	TRUE	1e+08	7	0.0341463414634146	1	42	1321	0	0	0.629779942279942
TRUE	0.7	TRUE	0	8	0.973170731707317	0.166666666666667	12	13	30	1308	0.568069306930697
TRUE	0.7	TRUE	0.01	8	0.951219512195122	0	0	0	42	1321	0.138205128205128
TRUE	0.7	TRUE	0.1	8	0.963414634146341	0	0	0	42	1321	0.157299578059072
TRUE	0.7	TRUE	1	8	0.951219512195122	0	0	0	42	1321	0.213461538461538
TRUE	0.7	TRUE	10	8	0.973170731707317	0	0	0	42	1321	0.553884711779449
TRUE	0.7	TRUE	100	8	0.958536585365854	0	0	0	42	1321	0.553509953599762
TRUE	0.7	TRUE	1000	8	0.958536585365854	0	0	0	42	1321	0.806017063313875
TRUE	0.7	TRUE	10000	8	0.0341463414634146	1	42	1321	0	0	0.778409090909092
TRUE	0.7	TRUE	1e+05	8	0.0414634146341463	1	42	1321	0	0	0.537344708875917
TRUE	0.7	TRUE	1e+06	8	0.0414634146341463	1	42	1321	0	0	0.29726088908846
TRUE	0.7	TRUE	1e+07	8	0.0292682926829268	1	42	1321	0	0	0.21534757118928
TRUE	0.7	TRUE	1e+08	8	0.0365853658536585	1	42	1321	0	0	0.318649789029536
TRUE	0.7	TRUE	0	9	0.963414634146341	0	3	5	39	1316	0.191017316017316
TRUE	0.7	TRUE	0.01	9	0.968292682926829	0	0	0	42	1321	0.28444099980624
TRUE	0.7	TRUE	0.1	9	0.960975609756098	0	0	0	42	1321	0.149746192893401
TRUE	0.7	TRUE	1	9	0.958536585365854	0	0	0	42	1321	0.16614279299506
TRUE	0.7	TRUE	10	9	0.975609756097561	0	0	0	42	1321	0.13475
TRUE	0.7	TRUE	100	9	0.965853658536585	0	0	0	42	1321	0.777417027417028
TRUE	0.7	TRUE	1000	9	0.973170731707317	0	0	0	42	1321	0.846434267486899
TRUE	0.7	TRUE	10000	9	0.0317073170731707	1	42	1321	0	0	0.359717109087387
TRUE	0.7	TRUE	1e+05	9	0.0341463414634146	1	42	1321	0	0	0.362914862914863
TRUE	0.7	TRUE	1e+06	9	0.0268292682926829	1	42	1321	0	0	0.344155844155844
TRUE	0.7	TRUE	1e+07	9	0.024390243902439	1	42	1321	0	0	0.202625
TRUE	0.7	TRUE	1e+08	9	0.024390243902439	1	42	1321	0	0	0.781625
TRUE	0.7	TRUE	0	10	0.970731707317073	0.2	7	0	35	1321	0.309029535864977
TRUE	0.7	TRUE	0.01	10	0.953658536585366	0	0	0	42	1321	0.248754879526181
TRUE	0.7	TRUE	0.1	10	0.960975609756098	0	0	0	42	1321	0.246510152284264
TRUE	0.7	TRUE	1	10	0.95609756097561	0	0	0	42	1321	0.124433106575964
TRUE	0.7	TRUE	10	10	0.960975609756098	0	0	0	42	1321	0.204473350253807
TRUE	0.7	TRUE	100	10	0.970731707317073	0	0	0	42	1321	0.789154103852596
TRUE	0.7	TRUE	1000	10	0.968292682926829	0	0	0	42	1321	0.773493509009885
TRUE	0.7	TRUE	10000	10	0.0268292682926829	1	42	1321	0	0	0.205627705627705
TRUE	0.7	TRUE	1e+05	10	0.024390243902439	1	42	1321	0	0	0.762625
TRUE	0.7	TRUE	1e+06	10	0.0487804878048781	1	42	1321	0	0	0.182692307692308
TRUE	0.7	TRUE	1e+07	10	0.0439024390243902	1	42	1321	0	0	0.346301020408163
TRUE	0.7	TRUE	1e+08	10	0.0268292682926829	1	42	1321	0	0	0.522100706311233
