trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	expr	testFunctionalLncs	testSetSize
8	3	557	16	11	0.157894736842105	0.214285714285714	0.0459965928449745	0.593181251558215	glm.poly2.stats	14	1367
8	3	542	31	11	0.0882352941176471	0.214285714285714	0.0715502555366269	0.543131388681125	glm.main.weight.stats	14	1367
8	4	573	0	10	1	0.285714285714286	0.0170357751277683	0.643355771628021	glm.main.stats	14	1367
8	5	544	29	9	0.147058823529412	0.357142857142857	0.0647359454855196	0.653266018449265	glm.cross.weights.stats	14	1367
8	7	553	20	7	0.259259259259259	0.5	0.0459965928449745	0.732547993019197	glm.cross.stats	14	1367
8	3	556	17	11	0.15	0.214285714285714	0.0477001703577513	0.515956120668161	lda.main.stats	14	1367
8	1	571	2	13	0.333333333333333	0.0714285714285714	0.0255536626916525	0.248504113687359	qda.main.stats	14	1367
8	1	554	19	13	0.05	0.0714285714285714	0.0545144804088586	0	knn.1.stats	14	1367
8	1	572	1	13	0.5	0.0714285714285714	0.0238500851788757	0	knn.3.stats	14	1367
8	1	573	0	13	1	0.0714285714285714	0.0221465076660988	0	knn.5.stats	14	1367
8	5	553	20	9	0.2	0.357142857142857	0.0494037478705281	0.627524308152577	glm.circ.weights.stats	14	1367
8	5	570	3	9	0.625	0.357142857142857	0.020442930153322	0.675517327349785	glm.circ.stats	14	1367
8	6	560	13	8	0.315789473684211	0.428571428571429	0.0357751277683135	0.744826726502118	ridge.weight.stats	14	1367
8	0	573	0	14	NA	0	0.0238500851788757	0.640363999002739	ridge.stats	14	1367
8	4	564	9	10	0.307692307692308	0.285714285714286	0.0323679727427598	0.595736724008976	lasso.weight.stats	14	1367
8	0	573	0	14	NA	0	0.0238500851788757	0.5	lasso.stats	14	1367
7	6	545	29	7	0.171428571428571	0.461538461538462	0.061328790459966	0.705507906727419	glm.poly2.weight.stats	13	1367
7	3	556	18	10	0.142857142857143	0.230769230769231	0.0477001703577513	0.599705172875905	glm.poly2.stats	13	1367
7	3	529	45	10	0.0625	0.230769230769231	0.0936967632027257	0.424886089520234	glm.main.weight.stats	13	1367
7	2	571	3	11	0.4	0.153846153846154	0.0238500851788757	0.513937282229966	glm.main.stats	13	1367
7	6	534	40	7	0.130434782608696	0.461538461538462	0.080068143100511	0.695926025194318	glm.cross.weights.stats	13	1367
7	3	557	17	10	0.15	0.230769230769231	0.0459965928449745	0.600576253015277	glm.cross.stats	13	1367
7	4	536	38	9	0.0952380952380952	0.307692307692308	0.080068143100511	0.550924685071024	lda.main.stats	13	1367
7	2	568	6	11	0.25	0.153846153846154	0.0289608177172062	0.356271777003483	qda.main.stats	13	1367
