transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000427317.1 0.0001995 0 0 0 0
ENST00000457311.1 0 0 0 0 0
ENST00000411708.1 0.0004925 0 0 0 0
ENST00000440032.1 0 0 0 0 0
ENST00000451646.1 0 0 0.000248 0.000223 0.036263
ENST00000423628.1 0.000639 0.0002955 0 0.0004245 0
ENST00000445300.1 0.0049425 0 0.0014435 0.0281275 0.0001305
ENST00000452982.1 0.0034305 0 0 0.012041 0
ENST00000424689.1 0 0 0 0 0
ENST00000449895.1 0 0 0 0 0
ENST00000444276.1 0 0.00076 0 0 0
ENST00000433876.1 0 0 0 0 0
ENST00000414948.1 0.029127 0.028835 0.0224585 0.049763 0.027947
ENST00000442636.1 0.018629 0.0342295 0.011879 0.0074925 0.0218635
ENST00000437157.1 0.03717 0.0215015 0.0360795 0.042271 0
ENST00000412639.1 0.004421 0.024459 0.0296925 0.0079615 0
ENST00000441033.1 0.0085545 0 0 0.022104 0
ENST00000415330.1 0.0397625 0.037549 0.57977 0.219051 0.258285
ENST00000454104.1 0 0 0 0 0
ENST00000453140.1 0 0 0 0 0
ENST00000445884.1 0.0015545 0.0020165 0.0007975 0.0012925 0.003791
ENST00000424487.1 0 0 0 0.0014295 0
ENST00000452378.1 0.012292 0.0068285 0.0112545 0.008752 0.0037645
ENST00000447600.1 0.022292 0.0011025 0.0033075 0.0047215 0.003707
ENST00000435388.1 0.043539 0.004427 0.007925 0.009906 0.005589
ENST00000445982.1 0 0 0 0 0
ENST00000420480.1 0 0 0 0 0
ENST00000453135.1 0.013186 0.000473 0.0003735 0.0099625 0.0089935
ENST00000376620.3 0 0 0 0 0.0001285
ENST00000442242.1 0.000701 0.0005645 0 0 0
ENST00000400892.2 0.0027345 0.0039895 0.0039965 0.0063885 0.0043175
ENST00000416696.1 0.005387 0 0 0.0215965 0.0010355
ENST00000438401.1 0 0 0 0 0
ENST00000437631.1 0 0 0 0 0
ENST00000451598.1 0 0 0 0 0
ENST00000432559.1 0 0 0 0 0
ENST00000417907.1 0 0 0 0 0
ENST00000450259.1 0.0004035 0 0 0 0
ENST00000441809.1 0 0 0.0002045 0 0
ENST00000420227.1 0 0 0 0 0
ENST00000449215.1 0 0 0 0 0
ENST00000447908.1 0 0 0 0 0.0560205
ENST00000404665.2 0.013127 0.0005905 0.0113775 0.0568925 8.15e-05
ENST00000310916.3 0.001474 0 0.0078025 0.0314355 0
ENST00000428747.1 0.000572 0 0.0001575 0.000382 0
ENST00000439788.1 0.00076 0 0 0 0
ENST00000427824.1 0.003641 0.0030255 0.001984 0.0006965 0.0007925
ENST00000428945.1 0.003779 0.000113 0.0026255 0.00261 0.0001955
ENST00000453804.1 0 0 0 0 0.000176
ENST00000418525.1 0.0018955 0 0.0004955 0.0197755 0
ENST00000535249.1 0.03756 0.0304735 0.068876 0.0598195 0.120266
ENST00000317122.1 0.0061995 0.001185 0.00288 0.002806 0.0010175
ENST00000437156.1 0.0012995 0 0 0 0
ENST00000424774.1 0.020935 0 0.003559 0.026497 0.000251
ENST00000426353.1 0.0452345 0.0002835 0.012543 0.024018 0.001496
ENST00000457809.1 0 0 0 0 0
ENST00000457898.1 0.0100875 0.00726 0.0074095 0.0084845 0.009523
