filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000416220.1	0.844412	2.15125	2.10552	0.791574	0.974395
ENST00000416341.1	0	0	0	0	0
ENST00000417672.1	0.00311367	0	0.039543	0	0
ENST00000536131.1	0	0	0.06853	0	0
ENST00000415252.1	0	0	0	0	0
ENST00000523063.1	0	0.0982375	0	0.0155195	0.007543
ENST00000438000.1	1.36161	13.8264	3.09483	2.44438	0
ENST00000426021.1	0.12589	0.258551	0.627919	0.0743795	0.218034
ENST00000414042.1	0.245071	0.0505175	0.193634	0	0.0467025
ENST00000535163.1	0	0.0054505	0	0.0423605	0.002435
ENST00000437032.1	0.097844	0	0.722037	0	0.0523525
ENST00000439694.1	0.000902	0.00364	0	0	0.0457735
ENST00000413074.1	0.316168	1.22792	0.823852	0.697159	0.149977
ENST00000534195.1	2.18279	0	1.97949	0	0.107786
ENST00000403371.2	0	0	0	0	0
ENST00000425295.1	0.628766	0.38675	0.216164	0.16385	3.79971
ENST00000427692.2	2.67677	7.11031	6.00769	3.32294	5.47157
ENST00000504550.1	0.0423653	0	0.0467445	0.49766	0.013485
ENST00000538430.1	0.0409457	0.103606	0	0.0033365	0.653139
ENST00000416473.1	0.0329273	0.0110635	0.064783	0	0.078998
ENST00000428573.1	0.0440263	0.054176	0.22768	0.0773305	0.0874205
ENST00000439342.1	0	0	0	0	0
ENST00000414053.1	0	0.074097	0.0716145	0	0.0778075
ENST00000414295.1	0	0	0	0	0
ENST00000449143.1	0	0	0	0	0
ENST00000425185.1	0	0.018714	0	0	0.01073
ENST00000458097.1	0.0182757	0.063063	0.051146	0.038643	0.0272795
ENST00000504440.1	0	0.0019595	0	0	0.0404145
ENST00000505771.1	0.0284813	0	0.057577	0	0.018747
ENST00000515451.1	0	0	0.118848	0.046483	0.005128
ENST00000526220.1	0.009788	0.0127645	0.0067445	0.014864	0
ENST00000514241.1	0.00595733	0	0	0	0.001398
ENST00000503593.1	0	0	0	0	0
ENST00000527672.1	0.0206963	0	0	0.096017	0.0075755
ENST00000501052.1	0	0.009617	0.061925	0.0140425	0.0596295
ENST00000502383.1	0	0	0	0	0
ENST00000513273.1	0	0	0	0	0.0447705
ENST00000501294.1	0.461866	0.000806	0	0.0012135	0.186997
ENST00000429420.1	0.00542067	0.0336365	0.0177245	0.0277345	0.018929
ENST00000416110.1	0	0	0	0	0
ENST00000416231.1	0	0	0	0.0180795	0
ENST00000524042.1	0	0	0	0	0
ENST00000512063.1	0	0	0	0.014933	0
ENST00000416352.1	0	0	0	0	0
ENST00000438143.1	0	0	0	0.001505	0.075972
ENST00000439474.1	0.024915	1.29691	0	0	0
ENST00000439595.1	0	0.0847675	0.545874	0.79261	0.392885
ENST00000534096.1	0.0324697	0.0209905	0	48.1082	0.004411
ENST00000413096.1	0	0	0	0	0
ENST00000449154.1	0	0	0	0	0.054568
ENST00000339021.2	0.016738	0.094251	0.184332	0.125132	0.330746
ENST00000517640.1	0	0	0	0	0
ENST00000505661.1	0.088753	0.0373445	0	0.061629	0
ENST00000514010.1	0.0425067	0.095385	0.0090235	0.445895	0.12305
ENST00000503483.1	0.842224	1.93485	2.05099	0.715691	2.02867
ENST00000418420.1	0	0.0007645	0	0.0080735	0.0016965
ENST00000527562.1	0	0	0	0	0
ENST00000417210.1	0.0199767	0.036881	0.0583585	0.038535	0.0273885
ENST00000527683.1	2.86169	14.2024	2.8839	2.4737	16.218
ENST00000419993.1	0.0196877	0.109075	0.047198	0.09998	0.078125
ENST00000525142.1	0.556131	0.258849	1.37686	0.30129	1.00189
ENST00000501184.1	0.00209833	0.0040155	0.0042225	0.022105	0.0179555
ENST00000429310.1	4.09616	10.5994	4.51403	8.24907	7.42523
ENST00000418662.1	0	0.003198	0.0257265	0.002625	0.0320535
ENST00000538573.1	0.00303133	0	0	0	0
ENST00000416242.1	0	2.14444	0.0339545	0.0064295	0
ENST00000427011.1	0.023892	0.0737995	0.237368	0	0
ENST00000427132.1	0	0	0	0	0
ENST00000524295.1	0.009222	0.0219075	0.007857	0.102345	0.0147765
ENST00000428584.1	1.49076	10.7362	7.82267	3.22148	5.11439
ENST00000438275.1	0	0.0028015	0	0	0.001441
ENST00000546086.1	0.0123497	0.0520035	0.0238185	9.80776	0.0073435
ENST00000436097.1	0	0	0	0	0
ENST00000518861.1	0	0	0	0	0
ENST00000505793.1	0.001319	0	0.0053025	0	0.150791
ENST00000515473.1	0	5.34111	0.0303815	0.088631	0.001128
ENST00000539552.1	0	0	0	0	0
ENST00000502284.1	0.0313633	0.0369165	0.146995	0.170752	0.01196
ENST00000419883.1	0	0	0	0	0
ENST00000429200.1	0	0	0	0	0
ENST00000417463.1	0.006823	0	0	0	0.222335
ENST00000416253.1	0.554466	6.21636	4.941	3.93385	0.597862
ENST00000537374.1	0	0	0	0.0154885	0.008101
ENST00000427022.1	0.046903	0.0509005	0.012412	0.0999325	0.124679
ENST00000428474.1	0	0	0	0.127476	0
ENST00000439364.1	0.0269133	2.2749	0.321332	1.60362	3.60287
ENST00000414075.1	58.6699	174.882	139.983	83.9671	73.4866
ENST00000438154.1	0.00502533	0.002302	0	0	0.007507
ENST00000508950.1	0	0	0	0	0
ENST00000519840.1	0	0	0	0	44.9383
ENST00000517420.1	0.01776	0.006037	0.002775	0.372324	0.0208985
ENST00000517541.1	0	0	0	0.007293	0
ENST00000518993.1	0.170506	0.068488	0.202377	0	2.58711
ENST00000529883.1	0.051649	0.267659	0.329211	0.143034	0.20284
ENST00000503263.1	0.298619	0.355899	0.0227405	0.146878	0.752655
ENST00000419531.1	0.0258743	0.0257575	0.0282	0.0368425	0
ENST00000538111.1	0	0	0	0	0.016151
ENST00000418442.1	0.369163	0.22865	0.028439	1.87996	2.63317
ENST00000417232.1	0.011474	2.96586	1.78548	0.0302625	6.36853
ENST00000416022.1	0.814382	3.9755	2.51042	2.11329	1.40117
ENST00000417474.1	0	0	0	0	0
ENST00000512096.1	0.0226517	0.012882	0.146085	0.183792	0.096125
ENST00000415054.1	0	0	0	0	0
ENST00000416385.1	1.55246	8.87293	1.57508	1.98832	6.29932
ENST00000428485.1	0	0	0.008561	0	0
ENST00000536296.1	0.0313047	0.135794	0.183198	0.009734	0.025475
ENST00000414086.1	0	0.0204935	0	0.0190375	0
ENST00000507630.1	0.016971	0.002564	0	0.044348	0.093023
ENST00000508961.1	0	0.003301	0	0	0
