filename,NHEK,HMEC,AG04450,K562,MCF7,HUVEC,BJ,HSMM,HELAS3,GM12878,NHLF,H1HESC,A549,SKNSHRA,HEPG2,CSHL_WholeCell_LPA+-_15CellLines
ENST00000517838.1,7.64413,5.70614,6.41236,15.3683,37.5923,10.5997,6.32044,4.06892,20.2801,20.5861,2.70053,13.23,21.1169,10.2467,11.8774,
ENST00000528607.1,0,0.015193,0.0140205,0.004308,0.028276,0.014863,0.0044895,0.007635,0.008384,0,0.0035305,0,0.0194005,0.027252,0.032353,
ENST00000529938.1,1.41404,0.319982,2.37767,0.35077,2.05008,5.03783,2.58684,7.72443,0.224576,0.230431,3.14128,0.277081,0.503302,0.600939,0.186646,
ENST00000517959.1,1.29595,1.3893,3.24944,1.39776,1.34861,4.19846,3.66338,3.21524,0.96448,0.885421,2.18615,2.55559,3.83603,5.38959,1.48733,
ENST00000506925.2,0.00199667,0.003103,0.004487,0,0,0.0011275,0.0027115,0.015905,0.041083,0,0.0429405,0.001572,0.0127,0.004622,0.025371,
ENST00000527518.1,0,0,0.003589,0,0,0,0,0,0.008809,0.004683,0,0.522331,0,0.0018195,0,
ENST00000418618.1,0,0,0,0.0126405,0,0.0051045,0,0.010588,0.128875,19.6007,0,0.036945,0.004738,0.0038985,0.165858,
ENST00000418739.1,0.00151067,0,0.019381,0.132217,0.0268045,0.0108045,0.041007,0.0305785,0.0636765,0.248802,0.0111135,0.086725,0.071906,0.0491295,0.080976,
ENST00000428419.1,0,0.007345,0.050469,0,0.0072125,0.0067565,0.189889,0.0020445,0.133059,0.0078205,0.0069805,0.0938985,0.0058405,0.0523775,0.42042,
ENST00000441861.1,0.231232,0.016915,0.147972,0.0085595,0.400807,0.171079,0.117165,0.055487,0.0601865,0.060082,0.0556335,0.592437,0.802719,0.617363,0.125095,
ENST00000427428.2,0.004679,0.02008,0.0191625,0.372768,0.360569,0.266444,0.0795715,0.533566,21.8792,0.009885,0.005768,2.3707,0.0284535,1.47335,66.1009,
ENST00000451662.1,0,0,0,0,0,0,0.0103405,0,0,0,0,0,0,0,0,
ENST00000462431.1,0.00108767,0.005066,0.0171485,0,0,0.0024545,0.000998,0.0070625,0.0027955,0,0.022368,0,0.00381,0,0.001757,
ENST00000498731.1,0.06618,0.023308,0.0111775,0.060762,0.146175,0.262503,0.0530735,0.011303,0.0783795,0.0571895,0.0276615,1.20672,0.222981,0.218375,0.0174035,
ENST00000497872.2,0,0,0,0,0.016801,0,0,0.250123,0,0,0,0,0,0,0,
ENST00000506717.1,0.0520127,0.014729,0,0,0,0,0.0043525,0,0,0,0,0,0,0,0,
ENST00000505628.1,0,0,0,0,0.012087,0,0,0,0,0,0,0,0,0,0,
ENST00000503208.1,0,0,0.005697,0,0,0.0032085,0,0,0.0020695,0,0.0009565,0,0.0125615,0,0.037963,
ENST00000504539.1,0.0112193,0,0,0.026292,0,0.0129945,0,0,0.020312,0,0.0046945,0.0072305,0.0105625,0.0221195,0,
ENST00000428309.1,8.11594,5.21265,8.70833,4.72805,7.98453,0.278284,2.83045,2.30222,3.83151,19.0121,2.57979,8.46365,2.57588,3.52215,3.19407,
ENST00000430861.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00408,0,0,
ENST00000441630.1,0.143099,0.067961,0,0,0.189348,0.173047,0.026951,0.021149,0.14875,0.397547,0.013344,0.412399,0.115727,0.0246835,0.260097,
ENST00000453972.1,0,0,0,0,0,0,0,0,0,0,0,0.022904,0,0,0,
ENST00000451431.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
