index "transcript_id" "HELAS3" "GM12878" "H1HESC" "HEPG2" "K562" "entropy" "min" "max" "average" "maxExpr" "HELAS3.Expr" "GM12878.Expr" "H1HESC.Expr" "HEPG2.Expr" "K562.Expr" "threeTimesSpecifity" "tissSpec" "expressed"
"63" "ENST00000432963.1" 0 0.0002315 0 0.0002325 0.0002515 1.58389809550408 0 0.0002515 0.0001431 "K562" "notExpressed" "low" "notExpressed" "low" "low" "None" 0.335740424433643 "yes"
"64" "ENST00000427857.1" 0.0017895 0.0075905 0 0.0035365 0.0071325 1.81363511204868 0 0.0075905 0.0040098 "GM12878" "mid" "high" "notExpressed" "mid" "high" "None" 0.355439215221962 "yes"
"65" "ENST00000448179.1" 0.0091035 0.000337 0.0104425 0.0020845 0.0027365 1.79297886017258 0.000337 0.0104425 0.0049408 "H1HESC" "high" "low" "high" "mid" "mid" "None" 0.387119962012588 "yes"
"66" "ENST00000398216.2" 0.000502 0 0 0 0 0 0 0.000502 0.0001004 "HELAS3" "low" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "HELAS3" 1 "yes"
"67" "ENST00000458555.1" 0.005364 0.0163465 0.0065395 0.0082595 0.000562 1.94023051590834 0.000562 0.0163465 0.0074143 "GM12878" "mid" "high" "mid" "high" "low" "None" 0.400125697793659 "yes"
"68" "ENST00000416774.1" 0.002039 0.0001095 0.0028035 0.0038535 0 1.61487912908487 0 0.0038535 0.0017611 "HEPG2" "mid" "low" "mid" "mid" "notExpressed" "None" 0.39776071594676 "yes"
"69" "ENST00000379317.1" 0 0.000146 0.0011125 9.45e-05 0.0002305 1.32230352933868 0 0.0011125 0.0003167 "H1HESC" "notExpressed" "low" "low" "low" "low" "H1HESC" 0.590659291064978 "yes"
"70" "ENST00000444968.1" 0.0160215 0.01218 0.0178285 0.032572 0.046235 2.14517727318758 0.01218 0.046235 0.0249674 "K562" "high" "high" "high" "high" "high" "None" 0.349475326013961 "yes"
"71" "ENST00000448629.2" 0.100954 0.005152 0.048677 0.038975 0.0397765 1.98200899082092 0.005152 0.100954 0.0467069 "HELAS3" "high" "mid" "high" "high" "high" "None" 0.393957569019501 "yes"
"72" "ENST00000447725.1" 0.070378 0.0352355 0.0673715 0.0937225 0.052877 2.25337358104044 0.0352355 0.0937225 0.0639169 "HEPG2" "high" "high" "high" "high" "high" "None" 0.29247592453305 "yes"
"73" "ENST00000444362.1" 0.121142 0.066911 0.157472 0.098956 0.250441 2.18081749256739 0.066911 0.250441 0.1389844 "K562" "high" "high" "high" "high" "high" "None" 0.34222440786069 "yes"
"74" "ENST00000418833.1" 0.083365 0.037663 0.109945 0.133123 0.055036 2.19235607920592 0.037663 0.133123 0.0838264 "HEPG2" "high" "high" "high" "high" "high" "None" 0.310746901620157 "yes"
"75" "ENST00000453521.1" 0.02414 0.0170365 0 0.0472895 0.0111055 1.79454160524315 0 0.0472895 0.0199143 "HEPG2" "high" "high" "notExpressed" "high" "high" "None" 0.424278939992252 "yes"
"76" "ENST00000428932.1" 0.0007145 0 0.016227 0.001449 0 0.630209688023839 0 0.016227 0.0036781 "H1HESC" "low" "notExpressed" "high" "mid" "notExpressed" "H1HESC" 0.752059181792187 "yes"
"77" "ENST00000439191.1" 0 0 0.002458 0.000251 0.0005415 1.02093422746041 0 0.002458 0.0006501 "H1HESC" "notExpressed" "notExpressed" "mid" "low" "low" "H1HESC" 0.633732692191112 "yes"
"78" "ENST00000366395.2" 0.021416 0.0004035 0.056864 0.170213 0.0009485 1.21254752580472 0.0004035 0.170213 0.049969 "HEPG2" "high" "low" "high" "high" "mid" "None" 0.574220842244603 "yes"
"79" "ENST00000428781.1" 0.002002 6.35e-05 0.001882 0.0037785 9.35e-05 1.63757711173132 6.35e-05 0.0037785 0.0015639 "HEPG2" "mid" "low" "mid" "mid" "low" "None" 0.430160166440839 "yes"
"80" "ENST00000430109.1" 0 0 0.012802 0.005273 0 0.870944130476713 0 0.012802 0.003615 "H1HESC" "notExpressed" "notExpressed" "high" "mid" "notExpressed" "None" 0.595127761580025 "yes"
"81" "ENST00000434150.1" 0.002315 0.000579 0.004658 0.0151805 0.0002555 1.40144210360905 0.0002555 0.0151805 0.0045976 "HEPG2" "mid" "low" "mid" "high" "low" "HEPG2" 0.558353334302804 "yes"
